"text","label"
"в россии созданы ключевые элементы для электроники будущего","Инженерные науки"
"за заражением коров поймали помесь из хламидий двух разных видов","Сельское хозяйство"
"прорывное направление российские генетики создали новый препарат для регенеративной медицины","Медицина"
"российские химики предложили производить ядерное топливо в таблетках новым методом","Химия и материалы"
"скрытная камера у разведчиков появится голографический фотоаппарат","Инженерные науки"
"нехватка кислорода нарушила круговорот аминокислот в мозге беременных","Биология"
"ученые придумали новый способ расчета распространения радиоволн","Науки о Земле"
"разгадана загадка взаимодействия частиц открывающих уникальные возможности для полностью оптической обработки информации","Физика и космос"
"ученые предложили лечить психику vrиграми","Математика"
"ученые института океанологии ран проведут виртуальные экскурсии по своим лабораториям","Новости Фонда"
"молодые ученые тгу запатентовали способ получения пористого материала на основе никелида титана схожего с натуральной костью","Инженерные науки"
"российские ученые улучшили сплав для костных имплантов","Инженерные науки"
"более тысяч человек приняли участие в научнопопулярной акции открытая лабораторная в день российской науки","Новости Фонда"
"у рачковбокоплавов обнаружили пристрастие к определенному роду паразитов","Другое"
"при миопатии дюшенна нарушается поглощение митоходриями ионов кальция","Медицина"
"депрессия до лампочки имитирующие пламя свечи диоды спасут от хандры","Химия и материалы"
"интернетпользователи назвали главные научные достижения года","Математика"
"александр хлунов в программе черные дыры белые пятна","Новости Фонда"
"интервью александра хлунова порталу поиск","Интервью"
"грантополучатели рнф получили премии правительства москвы","Новости Фонда"
"александр хлунов поздравил ученых с днем российской науки","Новости Фонда"
"александр хлунов наградил победителей всероссийской премии за верность науке","Новости Фонда"
"молодым ученым вручили премии президента в области науки и инноваций за год","Новости Фонда"
"химики мгу научились очищать промышленные стоки от антибиотиков","Науки о Земле"
"эпидемиологи расшифровали геном возбудителя новой клещевой инфекции","Медицина"
"ученые обнаружили что озера крыма стали менее радиоактивными","Биология"
"в россии разработали наноматериалы для экспрессднкдиагностики","Физика и космос"
"российские биологи раскрыли неожиданный хаос в поведении водных экосистем","Биология"
"рнф запустил виртуальные экскурсии по математическому институту им ва стеклова","Новости Фонда"
"ученые выяснили как извлечь полезные спирты и эфиры из сточных вод","Химия и материалы"
"ученые из мгу научились бороться со злокачественными раковыми клетками","Медицина"
"тамбовские ученые разработали высокоточный метод диагностики аневризмы головного мозга","Медицина"
"объявлены лауреаты премии президента в области науки и инноваций для молодых ученых за год","Новости Фонда"
"рнф начинает прием заявок на молодежные конкурсы президентской программы исследовательских проектов","Новости Фонда"
"рнф начинает прием заявок на конкурс по продлению проектов под руководством молодых ученых президентской программы исследовательских проектов года","Новости Фонда"
"ученые выяснили как зерна ячменя чернеют в процессе своего развития","Биология"
"российские химики разработали катализаторы для производства полимеров нового типа","Химия и материалы"
"российские ученые нашли новую мишень для лекарств от вируса гриппа","Биология"
"российские ученые описали роль митохондрий в метастазировании опухолевых клеток","Медицина"
"химики спбгу научились находить фенолы в колбасе с помощью витамина b","Химия и материалы"
"математики рассчитали как вырастить кристаллы с заданными свойствами","Инженерные науки"
"в россии создали установку для противораковой терапии с использованием холодной плазмы","Инженерные науки"
"в россии нашли способ сделать биосенсоры дешевыми и эффективными","Инженерные науки"
"сибирские археологи обнаружили место обитания европейских неандертальцев на алтае","Гуманитарные науки"
"новый шаг в эволюции человека российские археологи исследовали древнюю охотничью стоянку в приэльбрусье","Гуманитарные науки"
"генетики обнаружили новые гены которые могут стать перспективными мишенями для таргетной терапии при раке молочной железы","Медицина"
"пущинские ученые рассказали о возможности управления скоростью биодеградации наночастиц пористого кремния в живых клетках","Физика и космос"
"в день российской науки пройдет масштабная викторина по проверке знаний о мире","Новости Фонда"
"греет варит и заряжает ученые нашли промышленный способ получения термоэлектриков","Инженерные науки"
"вулканические извержения повлияли на заселение приэльбрусья неандертальцами","Гуманитарные науки"
"новый алгоритм упростил измерение массы нейтрино","Физика и космос"
"нано под ногами сырье для новейших материалов создает сама природа","Инженерные науки"
"объявлен прием заявок на совместный конкурс рнф и министерства сельского лесного и рыбного хозяйства японии maffaffrcs","Новости Фонда"
"физики научили нейросети работать на квантовом компьютере","СМИ о Фонде"
"андрей блинов принял участие в гайдаровском форуме","Новости Фонда"
"нейросеть научилась использовать химические уравнения для создания новых лекарств","Химия и материалы"
"ученые из орла создали оптоволоконный зонд для диагностики новообразований в печени видео","Медицина"
"ученые вгу предложили новый метод изучения характеристик аттосекундного импульса","Физика и космос"
"выявлять эксудативный отит можно без операций","Медицина"
"выручалочка от палочки в россии создают свою вакцину против менингита","Медицина"
"биофизики обнаружили лишнюю деталь в молекулярном моторе","Медицина"
"сколько человеку нужно рибосом для долгой жизни","Медицина"
"двигатель с прогрессом ученые удвоят ресурс моторов из алюминия","Инженерные науки"
"спасительные губки морские животные защитят сердца при химиотерапии","Химия и материалы"
"ученые просветили кишечную палочку","Физика и космос"
"российские медики составили алгоритм приема холекальциферола для женщин в период менопаузы","Медицина"
"рнф совместно с коммерсантом рассказал о самых ярких исследованиях российских ученых в году","Новости Фонда"
"для создания прототипа вечного датчика газов использовали углеродные нанотрубки","Инженерные науки"
"ученые сконструировали тулиевый лазер для детекторов газа","Инженерные науки"
"ученые выяснили как распространяется вирус птичьего гриппа","Биология"
"цифровое будущее истории мировой литературы","Гуманитарные науки"
"органические светодиоды сделали приятными и безопасными для глаз","Химия и материалы"
"математики изучили поведение экситонов в материалах для наноэлектроники","Математика"
"академик валентин анаников надо работать здесь и сейчас","Химия и материалы"
"явление древнее даже античное российский ученый о регенеративной медицине и лечении стволовыми клетками","Медицина"
"молодые биологигрантополучатели рнф стали финалистами всероссийского конкурса","Новости Фонда"
"рнф поддержит проектов реализуемых совместно с китайскими учеными","Новости Фонда"
"грантополучатели рнф провели викторины проверяющие научные знания о мире","Новости Фонда"
"грантополучатели рнф открыли двери своих лабораторий для всех желающих","Новости Фонда"
"нижегородские ученые открыли новый способ борьбы с опухолями","Медицина"
"ученые выяснили что происходит с графеном при плавлении","Физика и космос"
"рнф и fwf поддержат российскоавстрийских проекта","Новости Фонда"
"нижегородские ученые нашли новые подходы терапии против рака","Медицина"
"рнф поддержит российскобельгийских проектов","Новости Фонда"
"на книжном салоне в петербурге представили издание кунсткамеры о кочевниках арктики","Гуманитарные науки"
"на дне атлантического океана нашли барханы","СМИ о Фонде"
"нажать на тормоза ученые и медики предотвратят развитие опасных заболеваний","Биология"
"крабовый панцирь позволит победить грязную нефть","СМИ о Фонде"
"цифровая голография реальность на грани фантастики","СМИ о Фонде"
"ученые связали явления в ионосфере с изменениями в средней атмосфере","СМИ о Фонде"
"повышение кадрового потенциала и хорошая международная репутация тот эффект который дал нам первый грант рнф","Сельское хозяйство"
"вышел свежий выпуск дайджеста новостей фонда","Новости Фонда"
"грантополучатели рнф проведут научные викторины","Новости Фонда"
"определены молекулы влияющие на адаптацию защитных систем бактерий crisprcas","Биология"
"нанопинцет россия и китай создают инструменты для наноконструирования","Инженерные науки"
"томские филологи обнаружили около новых диалектных слов","Гуманитарные науки"
"российские и китайские ученые об искусственном интеллекте чипах и болезни паркинсона","Новости Фонда"
"в сыворотке крови страдающих шизофренией людей найдены потенциальные маркеры болезни","Медицина"
"участники гранта рнф изучили особенности межпоколенческой коммуникации в цифровую эпоху","Гуманитарные науки"
"рнф продолжит сотрудничество с партнерами в японии","Новости Фонда"
"раскрывая сердечные тайны медики центра сердечнососудистой хирургии им а н бакулева об исследованиях физиологии сердца","Медицина"
"шишуля кузямузя и берестяная рожа как уральские ученые собирают редкие слова","Гуманитарные науки"
"трудно быть ботом почему оскорбление в адрес родного языка одно из самых травмирующих","Гуманитарные науки"
"ученый урфу возглавит одну из рабочих групп проекта космического телескопа","Физика и космос"
"поверхностный эффект преградил путь водороду в металлах","Инженерные науки"
"как углеродные нанотрубки изменят будущее сенсорных экранов","Физика и космос"
"ученые уточнили причины возникновения депрессии у женщин","Медицина"
"создана первая российская установка для синтеза тонких оксидных пленок","Физика и космос"
"физики кфу разработали металинзу позволяющую преодолеть дифракционный барьер","Физика и космос"
"ученые сфу предложили комплексную стратегию участия россии в парижском соглашении","Гуманитарные науки"
"ученые улучшили метод оценки тканевого кровотока","Медицина"
"рнф принял участие в российскогерманском форуме вузовской науки","Новости Фонда"
"стала доступна видеозапись вебинара посвященного подготовке заявок на получение и продление грантов рнф","Новости Фонда"
"не просто паутина","Инженерные науки"
"создано противоядие от миорелаксантов","Химия и материалы"
"ученые тгу в раз улучшили точность картинки для телекоммуникации","Математика"
"ученые двфу открыли новые соединения с гербицидным потенциалом из морского гриба","Биология"
"андрей блинов принял участие в общем собрании профессоров ран","Новости Фонда"
"зачет автомату рнф шлифует экспертные процедуры","Новости Фонда"
"цитокины стимулируют синаптическую активность головного мозга","Медицина"
"ученые спбгу заглянули в прошлое атлантики чтобы узнать о будущем арктики","Науки о Земле"
"какие небиологические сложности возникают при генной модификации живого","Гуманитарные науки"
"прибор для спутниковой альтиметрии выдержал проверку норвежским морем","Науки о Земле"
"чем заменить кость российский регенеративный материал нового поколения включает хитозан","Медицина"
"в россии наметили способ предотвращать подземную миграцию урана","Науки о Земле"
"на эльбрусе обнаружили следы самой сильной засухи за последние лет","Науки о Земле"
"ученые двфу с коллегами разработали материал для поиска взрывчатки","Инженерные науки"
"российские химики и google запустили научнопопулярный проект отвечает менделеев","Химия и материалы"
"найден защищающий нервные клетки от гипоксии механизм","СМИ о Фонде"
"ученые открыли механизм который мешает гибели нервных клеток при гипоксии","СМИ о Фонде"
"искусственный интеллект защитит нас от нежелательной информации в интернете","СМИ о Фонде"
"состоится вебинар посвященный подготовке заявок на получение и продление грантов рнф","Новости Фонда"
"без дамок о новой системе назначения экспертов в рнф","Новости Фонда"
"бактериальные полимеры ускорили заживление костей","Биология"
"открыта новая реакция для получения медицински значимых соединений","Биология"
"новые нормы поведения эффективнее приживаются в соцсетях","Гуманитарные науки"
"ученые нашли способ повысить точность работы сенсоров","Физика и космос"
"российские ученые нашли новую основу для левитирующего транспорта","Инженерные науки"
"геомагнитную активность связали с протонными дождями","Физика и космос"
"ученые карелии исследуют влияние микропластика на окружающую среду видео","Науки о Земле"
"генетики выяснили что к природным гморастениям относятся хмель клюква арахис и чай видео","Биология"
"ученые упростили процесс создания атомных часов и квантовых компьютеров","Физика и космос"
"скользкая керамика томские ученые изобрели новое покрытие для сковородок и самолетов видео","Инженерные науки"
"психологическое благополучие связали с умением использовать новую информацию","Гуманитарные науки"
"городские многодетные семьи распределили по группам","Гуманитарные науки"
"бактерии на службе у медицины ученые предложили синтезировать наноцеллюлозу из соломы и овса","Инженерные науки"
"ученые рассказали о новых археологических открытиях на территории северовосточной руси видео","Гуманитарные науки"
"родиной серебряных копий из бородинского клада оказалась вовсе не греция","Гуманитарные науки"
"описана библиотека днкштрихкодов диатомовых водорослей","Биология"
"как куется лед материалы для освоения арктики","Химия и материалы"
"ученые используют внутренние ресурсы организма для борьбы с вич","Математика"
"определены оптимальные состав и форма напечатанного графенового датчика влажности","Физика и космос"
"эффективность выделения магнитных минералов смогли спрогнозировать","Инженерные науки"
"у крыс поджелудочную восстановили до людей пока не дошли как ученые урфу создают препарат от диабета","Медицина"
"красноярские ученые разрабатывают технологию обогащения свинцовых руд","Науки о Земле"
"членов экспертных советов рнф избраны в академики и членыкорреспонденты ран","Новости Фонда"
"как и зачем ученым рассказывать о своих исследованиях обсудили на круглом столе рнф","Новости Фонда"
"российские ученые создали керамические импланты похожие на натуральную кость","Химия и материалы"
"соединение из красных растений поможет в борьбе с ожирением","Сельское хозяйство"
"биологи изучили пути гибели клеток с поврежденной днк","Биология"
"кто готов работать и жить на севере","Гуманитарные науки"
"лимонная кислота и германий помогли создать зеленый анод для литиевых аккумуляторов","Химия и материалы"
"сергей лебедев об итогах первого конкурса рнф на финансирование инфраструктурных проектов","Новости Фонда"
"новый сверхпроводящий материал синтезировали российские ученые","Физика и космос"
"предотвратить второй чернобыль российский детектор нейтринного излучения испытают на аэс","Физика и космос"
"российские астрофизики обнаружили нейтронную звезду с необычной структурой магнитного поля","Физика и космос"
"ученые пластиковые коллиматоры способны заменить металлические при лучевой терапии онкологических заболеваний","Инженерные науки"
"ученые выяснили как излучение лазерных ускорителей влияет на живые клетки","Биология"
"химики мгу создали новый материал для натрийионных аккумуляторов","Химия и материалы"
"новые регуляторные микробелки нашли в геноме растений","Биология"
"наука в цифре как вузам и научным организациям искать точки роста с учетом глобального контекста и больших данных форум digital science","Новости Фонда"
"делегация рнф приняла участие в международной конференции global science and technology leaders forum","Новости Фонда"
"менделеевские металлы российские ученые открыли полупроводниковые соединения из рения галлия и германия","Химия и материалы"
"альтернатива трансплантации ученые нашли способ поддержания кровообращения у детей с пороком сердца","Инженерные науки"
"стенты из биополимера заставят атеросклеротические клетки стать здоровыми","Медицина"
"ученые предложили новый материал для регенеративной медицины способный управлять иммунным ответом клеток","Медицина"
"российские биологи выяснили как распознать клеткипредвестники метастаз рака груди","Медицина"
"ультрадиффузные галактики могут быть родственниками карликам","Физика и космос"
"российские ученые придумали способ повышения долговечности металлических изделий","Инженерные науки"
"археологи на стоянке древнего человека в кабардинобалкарии нашли орудия для охоты","Гуманитарные науки"
"в мгу состоялась первая в россии международная конференция по перовскитной фотовольтаике","Химия и материалы"
"ученые ннгу совершенствуют методы дистанционного мониторинга растений","Сельское хозяйство"
"ученые мгу пористый нанокремний поможет в борьбе с раком","Медицина"
"напечь порошков в ниту мисис создан новый dкомпозит для аэрокосмоса снизивший вес деталей на","Инженерные науки"
"в маи испытали сверхпроводниковый двигатель для перспективного самолета","Инженерные науки"
"ученые смоделировали высоковольтный разряд перед сверхзвуковым самолетом","Физика и космос"
"благодаря рнф наше направление науки развилось в россии просто с нуля","Медицина"
"рнф проведет круглый стол на тему освещения результатов исследований в сми на форуме новые материалы и перспективные технологии","Новости Фонда"
"ученые выяснили как развивается сепсис","Медицина"
"российские биологи открыли новые маркеры рака щитовидной железы","Медицина"
"вдалеке от москвы реформы патриарха никона воспринимались подругому","Гуманитарные науки"
"предложена единая шкала измерения спроса на блокчейн в россии","Гуманитарные науки"
"вышел свежий выпуск дайджеста новостей фонда","Новости Фонда"
"губка даст начало целому классу новых материалов","Биология"
"кремниевый детектор улучшил качество картинки на станции синхротронного излучения","Физика и космос"
"томские археологи обнаружили древнюю железоплавильную печь уникальной сохранности","Науки о Земле"
"открыты уникальные аналоги природных аминокислот","Химия и материалы"
"андрей блинов о новых и текущих конкурсах тактика ввяжемся в бой а там разберемся не совсем верная","Интервью"
"рнф объявляет о начале подачи заявок на конкурсы по поручениям президента россии","Новости Фонда"
"рнф объявляет о начале приема заявок на конкурс по продлению грантов года на поддержку отдельных научных групп","Новости Фонда"
"российские химики открыли материалы стойкие к действию радиации","Химия и материалы"
"мыши помогут новосибирским ученым в поиске источника депрессий и психозов","Медицина"
"новосибирские ученые научили иммунитет толерантности к донорским органам","Медицина"
"познать характер человека помогут лисы ученые академгородка ставят эксперимент","Биология"
"забывчивый кристалл расшифрована магнитная структура уникального материала","Физика и космос"
"разработана компьютерная модель формирования частицы микрогеля","Химия и материалы"
"создана модель описывающая твердость и трещиностойкость материалов","Физика и космос"
"нейросеть натренировали искать нарушения в работе мозга","Физика и космос"
"рнф принял участие во всероссийском фестивале науки который только в москве посетило около миллиона человек","Новости Фонда"
"уральские ученые предложили использовать нанотехнологии для дезинфекции яиц","Инженерные науки"
"уральские ученые научились контролировать движение лечебного гидрогеля","Инженерные науки"
"создан новый источник терагерцевого излучения","Инженерные науки"
"неподвластные времени почему почвенные клещи практически не изменились за миллионы лет эволюции","Биология"
"drive safely разработка специалистов итмо повысит безопасность на дорогах","Математика"
"археологи назвали найденное в кбр кострище неандертальцев одним из древнейших в скфо","Гуманитарные науки"
"сибирские ученые создали установку для плазменной модификации поверхностей","Инженерные науки"
"химики пермского университета разработали методы получения полезных фармакологических молекул из продуктов переработки биомассы","Химия и материалы"
"графен поможет выявить токсин плесени в продуктах","Инженерные науки"
"грантополучатели рнф в очередной раз стали стипендиатами конкурса loréalunesco для женщин в науке","Новости Фонда"
"экскурсии по уникальным лабораториям scienceart шоу лекции о медицине и много других активностей ждут участников фестиваля науки на площадках рнф","Новости Фонда"
"международных коллективов поддержано рнф в рамках совместного конкурса с национальным исследовательским агентством франции anr","Новости Фонда"
"область применения воронежские физики предложили новый подход к изучению наноматериалов","Физика и космос"
"ученые определили основные химические элементы в развитии нанотехнологий","Химия и материалы"
"от нейросайнс до альтернативной энергетики в нпк механобртехника расширят взгляд молодых ученых на науку","Новости Фонда"
"представители рнф встретились с учеными томской области","Новости Фонда"
"модификация бактерицидного белка продляет срок его пребывания в крови","Медицина"
"прочнее стал ученые создали электрический алмаз","Инженерные науки"
"победитель победита как на стыке теории кристаллографии и нефтяной индустрии нашли новый сверхтвердый материал","Химия и материалы"
"ученые кфу исследовали горение нефти различных месторождений","Химия и материалы"
"гуминовые вещества почвы способны бороться с вирусными инфекциями","Биология"
"грантополучатели рнф приняли участие в международной конференции по генетике и биотехнологии в животноводстве","Новости Фонда"
"рнф и dfg провели семинар по молодежным программам и признанию экспертизы","Новости Фонда"
"микровзрыв убивающий опухоли в году заработают первые пять клиник борнейтронозахватной терапии","Физика и космос"
"улучшена модель для предсказания свойств наноматериалов","Математика"
"ученые улучшили материал с фазовым переходом","Химия и материалы"
"ученые тпу ищут в кузбассе редкие металлы в пепле вулканов из монголии","Науки о Земле"
"на юге сибири нашли рачков переживших ледниковый период","Биология"
"в морских хищниках найдены ценные вещества для создания болеутоляющих нового поколения","Биология"
"разработка новосибирских химиков позволит спасти жизнь моряков после кораблекрушения","Химия и материалы"
"создано приложение которое помогает водителю остаться внимательным на дороге","Математика"
"снижает заболеваемость в раз российские медики испытали новый метод борьбы с аритмией после операций на сердце","Медицина"
"химия и жизнь осенью пройдет глобальная акция в честь юбилея таблицы менделеева","Химия и материалы"
"разработка новосибирских ученых поможет создать ядернотермоядерный реактор","Физика и космос"
"cотрудники рнф встретятся с представителями научной общественности томской области","Новости Фонда"
"создана модель биосинтеза витаминов группы в бактериями кишечника","Биология"
"молекула боли смогут ли ученые создать естественный анальгетик","Химия и материалы"
"эксперт рассказал о появлении оазисов на ямале","Науки о Земле"
"новые искусственные материалы упростят биохимические анализы","Физика и космос"
"ferring и generations начинают поиск стартапов в области репродуктивной медицины","Новости Фонда"
"люди поразному представляют как движется их тело","Физика и космос"
"слуга друг или хозяин кем станет искусственный интеллект для человечества","Математика"
"на xxi менделеевском съезде награждены выдающиеся ученыехимики","Химия и материалы"
"воронежские ученые открыли новый подход к изучению наноструктур","Физика и космос"
"начат прием заявок на соискание государственной премии рф в области науки и технологий","Новости Фонда"
"томские ученые создают новые соединения лития для лечения психических заболеваний","Медицина"
"как газ ляжет какие галактики древнее линзовидные или спиральные","Физика и космос"
"новосибирские ученые выявляют новые факторы развития болезни альцгеймера","Медицина"
"в сколтехе открылась лаборатория компьютерного дизайна новых материалов","Химия и материалы"
"объявлен совместный конкурс рнф с национальным исследовательским агентством франции anr в области математики и наук о земле","Новости Фонда"
"объявлен прием заявок на совместный конкурс рнф и dfg немецкого научноисследовательского сообщества","Новости Фонда"
"российские ученые научили мобильных роботов строить d карты помещений","Математика"
"в гиперсоленой воде гнилого моря одни животные погибают а другие процветают","Сельское хозяйство"
"почему алмаз останется самым дорогим камнем","Науки о Земле"
"новгородские археологи рассказали об уникальных находках полевого сезона","Гуманитарные науки"
"ученые придумали как улучшить свойства стали в сто раз","Инженерные науки"
"ученые разработали метод диагностики хламидиоза с помощью наночастиц золота","Сельское хозяйство"
"идет модернизация уникальных телескопов крымской астрофизической обсерватории","Физика и космос"
"молодые ученые тпу планируют создать технологию переработки биомассы в топливо","Инженерные науки"
